"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,36,0,0,1.44691136731519,36,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,166,0,0,1.43694348263654,166,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",1,44,0,0,0.957637337569219,45,0.0222222222222222,0.4999995000005,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,34,0,0,1.08660259278426,34,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",1,247,0,0,1.60937874456318,248,0.00403225806451613,0.4999995000005,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,20,0,0,1.64590412495287,20,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,0,0.325740492546262,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",30296,179,2834,8,0.596309997050985,33317,0.909565687186721,0.478619471698081,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",481,6,5,0,0.929543751310652,492,0.977642276422764,0.494855966059967,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",130,0,10,0,0.879293290090862,140,0.928571428571429,0.464285710969388,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",11,0,0,0,0.474548012958825,11,1,0.499999954545459,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.191395900162299,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",62,0,0,0,6.11155650916301,62,1,0.499999991935484,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",3,0,0,0,2.74304384110727,3,1,0.499999833333389,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",165,0,0,0,1.88896952493364,165,1,0.499999996969697,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",44,0,0,0,2.34682895269141,44,1,0.499999988636364,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,3.76441559238967,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,2.29203314049702,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
