"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.615557595752875,36,1,0.499999986111112,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,166,-0.702792823032801,166,1,0.499999996987952,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.431773100739332,45,0.977777777777778,0.499999988636364,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.15336510962397,34,1,0.499999985294118,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.789128684013371,248,0.995967741935484,0.499999997975708,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.691436954627468,20,1,0.499999975000001,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,0.832967079730495,1,1,0.4999995000005,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",6514,26,26616,161,0.189900160117571,33317,0.200348170603596,0.528790970220985,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",196,0,290,6,1.03160090980969,492,0.410569105691057,0.70164600678675,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",32,0,108,0,0.287008125102743,140,0.228571428571429,0.114285713469388,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",8,0,3,0,2.09677261896232,11,0.727272727272727,0.363636330578515,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.627014704802377,1,0,0,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",1,0,61,0,-0.855614546827559,62,0.0161290322580645,0.00806451599895942,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,-0.39219727723949,3,0,0,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",36,0,129,0,0.203504994189841,165,0.218181818181818,0.109090908429752,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",4,0,40,0,-0.256617634730612,44,0.0909090909090909,0.0454545444214876,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.134478726677337,5,0,0,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.447506327654554,1,1,0.4999995000005,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",13,1,95,8,-0.131178833595773,117,0.179487179487179,0.504629579689649,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",16,2,49,3,0.715915470646699,70,0.271428571428571,0.423076861183444,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
