"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.587138527671553,28,0.964285714285714,0.48214283992347,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B intermediate lambda",0,22,0,120,-0.288317056583848,142,0.845070422535211,0.422535208292006,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B memory kappa",0,0,0,35,-0.618576481169485,35,1,0.499999985714286,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B memory lambda",0,0,0,30,-0.730503229691235,30,1,0.499999983333334,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B naive kappa",0,3,1,201,-0.760009438808823,205,0.980487804878049,0.492647056408593,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.677978107731704,15,1,0.499999966666669,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-0.16744973571394,2,0.5,0.249999875000062,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",23543,125,2025,24,1.17521256488641,25717,0.916397713574678,0.540936630591152,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",277,5,10,1,1.19019836376027,293,0.948805460750853,0.565911714975532,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","Doublet",107,0,2,0,1.2927835983867,109,0.981651376146789,0.490825683570407,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,0.202052841683697,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","Platelet",47,0,12,0,1.96537377637579,59,0.796610169491525,0.398305077994829,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC1",1,0,1,0,0.543336627891034,2,0.5,0.249999875000062,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC2_1",75,0,12,0,0.728902326980278,87,0.862068965517241,0.431034477804201,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC2_2",21,0,4,0,0.723446129923043,25,0.84,0.419999983200001,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","pDC",2,0,3,0,0.203361539246148,5,0.4,0.199999960000008,"UCell","GOBP_REG",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.973161983557794,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD14 Mono",73,8,12,1,0.989823078356322,94,0.787234042553192,0.484967309036696,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD16 Mono",46,3,5,0,1.04377333612429,54,0.851851851851852,0.45098038331411,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.807586879346093,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 Naive",0,1,12,15,-0.721856964805994,28,0.535714285714286,0.468749970703127,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TCM_1",1,0,8,11,-0.665613642219819,20,0.6,0.555555503928175,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TCM_2",0,0,5,5,-0.86386087453139,10,0.5,0.49999990000002,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TCM_3",0,0,13,4,-0.772638159054781,17,0.235294117647059,0.499999875000031,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.972809946605249,2,0.5,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TEM_3",0,0,5,2,-0.812655161200667,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 Naive",0,0,22,14,-0.820440970421708,36,0.388888888888889,0.499999964285717,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,-1.02965649697412,2,0.5,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 Proliferating",0,0,2,0,-1.07515418566862,2,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.695222924570221,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.906863858497479,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.827251423448514,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TEM_1",1,0,4,2,-0.585181323727712,7,0.428571428571429,0.599999730000129,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.499633984182374,2,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TEM_4",0,1,2,1,-0.0656167066358975,4,0.25,0.249999875000062,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TEM_5",1,0,0,0,0.270350495723993,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","Doublet",11,0,4,1,0.843672494273315,16,0.75,0.866666142222724,"UCell","GOBP_REG",FALSE,"youden"
